Arabic Name,English Name
بانتوزول,PANTOZOL 40MG I.V POWDER FOR INJECTION
بريموسان,PREMOSAN 10MG INJECTION
بورينيثول,PURINETHOL 50MG TAB
بانديرم,PANDERM OINT
بريموسان,PREMOSAN ORAL DROPS 4MG-ML
بارازول,PARAZOLE (MEBZOL) 100MG-5ML SUSPENSION
بيبانثين,BEPANTHEN
بيوتالين,BUTALIN SYRUP 2MG-5ML
بريموسان,PREMOSAN SYRUP 5MG-5ML
بسكوبان,BUSCOPAN TABLETS 10MG
بارازول,PARAZOLE 100MG TABLET
بيندازول,BENDAZOLE 100 MG TAB
بيفاكول,BEVACOL 135MG TABLET
بايلوميد,PYLOMID 10MG TAB
بينزال,BENZAL 25% LOTION
بريدنيزولون,PREDNISOLONE
بونيفوس,BONEFOS 400MG CAPSULS
بروهير,PROHAIR
بروسنورم,PROSNORM
بروتوجين,PROTOGYN
بيتاسيرك,BETASERC 16MG TAB
بانيوسين بودرة,BANEOCIN POWDER
برمبران,PRIMPERAN 5MG-ML 2ML-AMP.
بيج - إنترون,PEG-INTRON 100MCG\0.5ML VIAL
بيج إنترون,PEG-INTRON 120MCG\0.5ML VIAL
بيج-انترون,PEG-INTRON 150MCG\0.5ML VIAL
بيج إينترون,PEG-INTRON 50MCG\0.5MLVIAL
بيج إنترون,PEG-INTRON 80MCG\0.5ML VIAL
برمبران,PRIMPERAN DROPS 0.1MG-DROP
بريمبران,PRIMPERAN ADULT SUPP. 20MG
برمبران,PRIMPERAN CHILDREN SUPP.
بانتوفير,PANTOVER 40MG E.C. TABLETS
بيتاسيرك,BETASERC 24 MG TABLETS
بيتاسيرك,BETASERC 8 MG TAB
بزا,PZA 500 MG TAB.
بريزما,PRIZMA 4GM-0.5GM POWDER FOR I.V INFUSION
بريزما 2GM,PRIZMA 2GM/0.25GM POWDER FOR I.V. INFUSION
بروفيرا,PROVERA 5MG TAB
بريمو,BRIMO
بريسلو,PRESLO 100MG F-C TABLETS
بريسلو اقراص,PRESLO 50MG F-C TABLETS
بروماكس,PROMAX 0.05% OINTMENT
بروتوبك,PROTOPIC 0.03% OINTMENT
بروتوبيك,PROTOPIC 0.1% OINTMENT
بيوسيف,BIOCEF 250MG-5ML SUSPENSION
بريدو,PREDO 15MG-5ML SYRUP
بكتوميد,PECTOMED EXPECTORANT SYRUP
برونكلين,BRONCLYN 1.5MG-5ML SYRUP
بورجاتون,PURGATON
بريلا,PRILA 5% CREAM
بانيوسين,BANEOCIN OINTMENT
بالاد,BALAD
بريمودين,BRIMODIN
بيتاكول,BETACHOL
بيلوتينا,PILOTINA-2
بيلوتينا,PILOTINA-4
بيودينيد,BUDINIDE
بيتاجن,BETAGEN
بوناماكس,BONAMAX 35MG TABLETS
بوناماكس اقراص,BONAMAX 70MG TABLETS
بك ميرز,PK-MERZ
برومانتين,PROMANTINE SYRUP
بيتاتين,BETATEN 25MG F.C. TABLETS
بيتاتين اقراص,BETATEN 100MG F.C. TABS
بيتاتين 50MG,BETATEN 50MG F.C.TABLET
باراكلود,BARACLUDE 1MG F.C. TABLETS
بروكتوهيل,PROCTOHEAL OINT.
بروكتو هيل,PROCTOHEAL SUPPOSITORY
بيوريجون,PUREGON 100 I.U AMP + SOLV
بوريجون,PUREGON 50 I.U AMP +SOLVENT
بيوريغون,PUREGON 100IU VIAL
بوريغون,PUREGON 50IU VIAL
بلافيكس,PLAVIX 75 MG TABLET
بروستين,PROSTIN VR AMP
بانثوفيل,PANTHOPHIL 2.5% LOTION
بريستيك,PRISTIQ 50MG EXTENDED RELEASE TABLETS
بروبيل ثيويوراسيل,PROPYLTHIOURACIL 50MG TAB
بروفين,BRUFEN 400 MG TAB
بروفين 600,BRUFEN TAB 600MG
بريكانيل,BRICANYL TURBUHALER 0.5MG-DOSE
بولميكورت,PULMICORT TURBUHALER 100MCG-DOSE
بولميكورت,PULMICORT TURBUHALER 200MCG-DOSE
بلميكورت,PULMICORT METERED AEROSOL 200MCG-DOSE
بلميكورت,PULMICORT METERED AEROSOL 50MCG-DOSE
بليندل,PLENDIL 10MG S.R.TAB
بلينديل,PLENDIL 5MG S.R. TAB
بريسانيل,BRICANYL 2.5MG-ML SOLN.FOR NEBULISATION
بولميكورت,PULMICORT 0.5MG-ML (S.DOSE FOR NUB) SUSP
بلميكورت,PULMICORT0.25MG-ML SINGLE DOSE PLASTIC U
باميكود,BAMYCODE SOL.TAB
بريكانيل,BRICANYL AMP.
بيجاسيس,PEGASYS 135 MCG-0.5ML PRE-FILLED SYRINGE
بريكانيل شراب,BRICANYL SYP
بيغاسيس,PEGASYS 180 MCG-0.5ML PRE-FILLED SYRINGE
باكتريم,BACTRIM AMP 5ML I.V
باكترم,BACTRIM PED SYRUP (200+40mg-5ML)
باكتريم اقراص,BACTRIM TAB ADULT
بيزاليب,BEZALIP 200MG TABS
بيزالب,BEZALIP RETARD 400MG TABS
بونفيفا,BONVIVA 150 MG F.C. TABLETS
بروبيشيا,PROPECIA
بيرسينيد,PURSENNID TABLET
بوندرونات,BONDRONAT 2MG-2ML AMPOULE
بيبتازول,PEPTAZOLE 15MG CAPSULE
بيبتازول كبسولات,PEPTAZOLE 30MG CAPSULE
بيفاريل,PEVARYL CREAM 1%
باكتريم,BACTRIM SUSP(200+40MG-5ML)
باكتريم فورت,BACTRIM FORTE TAB
بوسبار,BUSPAR 10MG TAB
بوسبار اقراص,BUSPAR 5MG TAB
باروكسات,PAROXAT 10 MG F-C TABLETS
باروكسات,PAROXAT 20 MG F-C TABLETS
باروكسيت,PAROXAT 30MG F-C TABLETS
بروف,PROF 100MG-5ML SUSP
بروف اقراص,PROF 200 MG TAB
بيدوفكس,PEDOVEX 75MG F.C. TABLETS
بروف 400,PROF 400 MG TAB
بروف 600,PROF 600 MG TAB
بيج إنترون,PEG-INTRON 100MCG-0.5ML VIAL
بيج إنترون,PEG-INTRON 120MCG-0.5ML VIAL
بيج إنترون,PEG-INTRON 150MCG-0.5ML VIAL
بيج إنترون,PEG-INTRON 50MCG-0.5ML VIAL
بيج إنترون,PEG-INTRON 80MCG-0.5ML VIAL
بي بريتيراكس,BI PRETERAX ARGININE 5MG-1.25MG F.C. TAB
بريتيراكس,PRETERAX ARGININE 2.5MG-0.625MG F.C. TAB
بينبريتين,PENBRITIN VIAL 250 MG
بروستيد,PROSTID 5MG F-C TABLETS
بانوكسيل,PANOXYL 5 LOTION
بروميتين,PROMETIN 5MG\5ML SYRUP
بانوكسيل جل,PANOXYL 5 ACNE GEL
بانثينول,PANTHENOL
بروفيلار,PROFILAR 1MG/5ML SYRUP
بونيفيا,BONVIVA 3MG-3ML PREFILLED SYRINGES
بيوريجون كارتريدج,PUREGON 300I.U CARTRIDGE
بيوريغون كارتريدج,PUREGON 600 I.U CARTRIDGE
بريدون,PREDONE 10MG TAB
بريدون,PREDONE 20MG TAB
بيرازيناميد,PYRAZINAMIDE ANTIBIOTICE
بريماران,Premarin
بيكوناز,Beconase
بارلوديل,Parlodel
بيكتورال,pectoral
برجور,Progor
بيرسانتين,Persantin
بولارامين,Polaramine
بريغنيل,Pregnyl
برجونال,Pergonal
بوندراكس,Ponderax
برونستيل,Pronestyl
بروبلسيد,Propulsid
بروفيجيل,Provigil
بنتيل,Bentyl
برينت,prent
بيتاباس,Betapace
بيربرون,Perebron
بيافين,Biafine
بيرتوفران,Pertofrane
بروليوكين,Proleukin
بيرماكس,Permax
بيكلوفورت,Becloforte
بينادريل,Benadryl
بريمسول,Primsol
باباكون,Papacon
بافاكوت,Pavacot
باكسيل,Paxil
بروليكسين,Prolixin
بيرميتيل,Permitil
بنتوكسيل,Pentoxil
بروبان,Propan
برافاكول,Pravachol
بينيميد,Benemid
بيركولون,Percolone
بروليفت,Prolift
براندن,Prandin
باميلور,Pamelor
بينيكار,Benicar
بلاتينول,Platinol
بروميتريوم,Prometrium
بروجيست,Progest
بيدوريون,Bydureon
بيوترانس,Butrans
برواماتين,Proamatine
بنجاي,Bengay
بوسبورون,bosporon
بارابلاتين,Paraplatin
بوليدين تينكتور,Polydine tincture
بنتاسا,Pentasa
باسيتْراسين,باسيتْراسين
باكْلوفين,باكْلوفين
بوديسونيد,بوديسونيد
بوسْبيرون,بوسْبيرون
بيزافيبْرات,بيزافيبْرات
بيتاهِستين,بيتاهِستين
بيتاميثازون,بيتاميثازون
بيساكوديل,بيساكوديل
بيفونازول,بيفونازول
بنزالكونيوم,بنزالكونيوم
بنزكسول,بنزكسول
بِينْزُوات البِينْزيل,بِينْزُوات البِينْزيل
بيكلوميثازون,بيكلوميثازون
بروتيزولام,بروتيزولام
بروموكريبتين,بروموكريبتين
بابافيرين,بابافيرين
باراسيتامول,باراسيتامول
باروكسيتين,باروكسيتين
بيلوكارْبين,بيلوكارْبين
بيندولول,بيندولول
بيرانتيل,بيرانتيل
بيروكسيكام,بيروكسيكام
بَيرِيدُوسْتِيغمين,بَيرِيدُوسْتِيغمين
بنتوكسيفللين,بنتوكسيفللين
بنسلّامين,بنسلّامين
بزر القطوناء,بزر القطوناء
برافاستاتين,برافاستاتين
برازوسين,برازوسين
برازيكوانتيل,برازيكوانتيل
بريدنيزولون,بريدنيزولون
بريدنيزون,بريدنيزون
بروبنسيد,بروبنسيد
بروميثازين,بروميثازين
بروبافينون,بروبافينون
بروبوكسيفين,بروبوكسيفين
بروبيل ثيُوراسيل,بروبيل ثيُوراسيل
بروبرانولول,بروبرانولول
بروكاييناميد,بروكاييناميد
بيرفينازين,بيرفينازين
بيثيدين,بيثيدين
باكليتاكسيل,باكليتاكسيل
باميدرونات,باميدرونات
بوبروبيون,بوبروبيون
بيسوبرولول,بيسوبرولول
بيبريدين,بيبريدين
برومهيكسين,برومهيكسين
بيمولين,بيمولين
بروسيكليدين,بروسيكليدين
بريمونيدين,بريمونيدين
بيفاسيزوماب,بيفاسيزوماب
بريجابالين,بريجابالين
بورتيزوميب,بورتيزوميب
بالونوسيترون,بالونوسيترون
باليفيزوماب,باليفيزوماب
بوتينافين,بوتينافين
بيميتريكسيد,بيميتريكسيد
بودوفيلوتوكسين,بودوفيلوتوكسين
باريكالسيتول,باريكالسيتول
بيوبرينورفين,بيوبرينورفين
بيغفيلغراستيم,بيغفيلغراستيم
بيميكروليموس,بيميكروليموس
بانْتوبْرازول,بانْتوبْرازول
بيكالوتاميد,بيكالوتاميد
برومازيبام,برومازيبام
بيرمثرين,بيرمثرين
باليبيريدون,باليبيريدون
بوسنتان,بوسنتان
بينفلوريدول,بينفلوريدول
بيكابلرمين,بيكابلرمين
بنزويل بيروكسيد,بنزويل بيروكسيد
بوساكونازول,بوساكونازول
بيموزيد,بيموزيد
بيماتوبروست,بيماتوبروست
بوسرلين,بوسرلين
باروموميسين + كلوريد ميثيل البنزيثونيوم,باروموميسين + كلوريد ميثيل البنزيثونيوم
بِنزابيريل,بِنزابيريل
بيجفيسومانت,بيجفيسومانت
بيتاكسولول,بيتاكسولول
براميبكسول,براميبكسول
بيبيراسيلين,بيبيراسيلين
بوليدوكانول,بوليدوكانول
بيرازيناميد,بيرازيناميد
بريميدون,بريميدون
بيرغوليد,بيرغوليد
بوفيدون يودين,بوفيدون يودين
برينزولاميد,برينزولاميد
تامبوكور,TAMBOCOR 100MG TAB
تيكام,TEKAM 10MG-ML 10ML VIAL
توتينال,TOTINAL SYRUP 1MG-5ML
ترايفيد,TRIFED SYRUP
تريفيد,TRIFED TAB
توبراسين قطرات للعين,TOBRACIN 0.3% EYE DROPS
توبراسين,TOBRACIN 0.3% EYE OINTMENT
تحاميل سايكلوجست,CYCLOGEST 400MG PESSARIES
ترامادون,TRAMADONE 50MG-ML(100MG-2ML) AMPOULE
تيرفينيل,TERFINIL 125MG TABLETS
تيرفنيل,TERFINIL 250MG TABLETS
تاريفيد,TARIVID 200MG F-C TAB
تافينك,TAVANIC 250MG F.C TAB
تافانيك,TAVANIC 500MG F.C TAB
تاكسوتير,TAXOTERE 20MG VIAL +SOLVENT
تاكسوتر,TAXOTERE 80MG VIAL +SOLVENT
توباماكس,TOPAMAX 15MG SPRINKLE CAPSULES
توباماكس,TOPAMAX 25MG SPRINKLE CAPSULES
توباماكس,TOPAMAX 50MG SPRINKLE CAPSULES
توباماكس,TOPAMAX 100MG F.C.TAB.
توباماكس,TOPAMAX 200MG F.C.TAB.
توباماكس,TOPAMAX 25MG-TAB. F.C.TAB.
تينيا كيور,TINEACURE CREAM
تينا كيور,TINEA CURE PAINT 1%
ترامال كبسولات,TRAMAL 50 MG CAPSULE
ترامال ريتارد,TRAMAL RETARD 100MG F.C TAB
ترامال,TRAMAL 50 MG-1 ML AMPOULE
ترامال,TRAMAL 100MG SUPPOSITORIES
تيرس ناتورال,TEARS NATURALE
توبريكس,TOBREX OPTH.SOLUTION 0.3%
ترافاتان,TRAVATAN EYE DROP
توبراديكس,TOBRADEX EYE OINT
تيستوفيرون,TESTOVIRON DEPOT 250MG-1ML AMP
تيلينول,TYLENOL SUPP 100 MG
تيموبتول,TIMOPTOL DROPS
تروسوبت,TRUSOPT
تينوريتيك,TENORETIC TAB
تانيدينا,TANIDINA TAB 150MG
تايكيرب,TYKERB 250MG F.C. TABLETS
ترانديت حقن,TRANDATE INJ. 100 MG.-AMP.20ML
تراندات,TRANDATE TAB 200 MG.
ترانديت اقراص,TRANDATE TAB 100 MG.
تتراسيكلين,TETRACYCLIN 250MG CAPS
ترانديت,TRANDATE 100MG TABLET
تريزيفير,TRIZIVIR
ترايمول,TRIMOL TAB
تورفاكول,TORVACOL 10MG F.C. TABLETS
ترافاكول,TORVACOL 40MG F.C. TABLETS
تالين,TALIN 1.5MG-5ML SYRUP
تيفانيل,TEFANYL 1 MG TABLETS
ترفينيل,TERFINA CREAM
تيناديرم,TINADERM SOLUTION 1%
توبرامايسين,TOBRAMYCIN 20MG-2ML VIAL
تلفاست,TELFAST 120 MG FILM COATED TAB
تيلفاست,TELFAST 180 MG FILM COATED TAB
تافانيك,TAVANIC 5 MG -1 ML SOLUTION I.V INFUSION
تارفيد,TARIVID I.V2MG-MLSOLUTION FOR INFUSION
ترافوكورت,TRAVOCORT CREAM
ترينتال,TRENTAL TAB 400MG
تازوسين,TAZOCIN 2.25G VIAL
تيمير,TYMER 0.3% EYE DROP
ترافولون,TRAVOLONE CREAM
ترابيلين,TRABILIN 100MG AMPOULES
تيراسين,TERACIN
تاينيباسين,TAENIAPASSIN TABLETS
ترانكسين,TRANXENE 10MG CAPS
ترانكسين,TRANXENE 5MG CAPS
تازوسين 4.5GM,TAZOCIN 4.5GM VIAL + EDTA
تاميفلو,TAMIFLU 75 MG CAPSULE
تاسيجنا,TASIGNA 200MG CAPSULES
تجريتول,TEGRETOL 100 CHEW.TAB
تريليبتال,TRILEPTAL 150MG F.C TAB
تريليبتال اقراص,TRILEPTAL 300MG F.C TAB
ترليبتال,TRILEPTAL 600MG F.C TAB
تريليبتال,TRILEPTAL 60MG\ML SUSPENTION
تجراتول,TEGRETOL SUSP 2%
تيجريتول,TEGRETOL 250 MG SUPPOSITORIES
تجريتول,TEGRETOL TAB 200MG
تفرانيل,TOFRANIL 10 MG TAB
توفرانيل,TOFRANIL 25 MG 50 TAB
تراكون,TRACON 100MG CAPSULES
تابيفير,TABIVIR 100MG F-C TABLETS
تابيفير اقراص,TABIVIR 150MG F-C TABLETS
تابيفير,TABIVIR 300MG F-C TABLETS
تازولين,TAZOLINE 1GM VIAL I.M+5MLSOLV.LIDOCAINE
تراياكسون,TRIAXONE 1GM VIAL I.M+5ML SOLV.LIDOCAINE
تازولين,TAZOLINE 1GM VIAL IV+10ML WATER FOR INJ.
تراياكسون,TRIAXONE1GM VIAL I.V +10ML WATER FOR INJ
ترايبوفيد,TRIPOFED DM SYRUP
ترايبوفيد,TRIPOFED SYRUP
تاجاميت,TAGAMET TABLETS 400 MG.
تينول,TENOL 100 MG FILM COATED TABLETS
تينول اقراص,TENOL 50 MG FILM COATED TABLETS
تيجازون,Tigason
تابوسين,Tabocine
تيلاد,Tilade
تريلافون,Trilafon
تامسولين,tamsulin
تازوراك,Tazorac
تروفادا,Truvada
تارسيفا,Tarceva
تولفون,Tolvon
تابازول,Tapazole
تايسابري,Tysabri
تيمودار,Temodar
تراكلير,Tracleer
ترايسينوكس,Trisenox
تريدابتيف,Tredaptive
تريبتيزول,tryptizol
تيازاك,Tiazac
ترمبيكس,Trimpex
تيجوبين,Tegopen
تاكسول,Taxol
تيلزر,Telzir
تينداماكس,Tindamax
تايزيكا,Tyzeka
تيكوين,Tequin
توتيكت,Totect
تروفيلين,Truphylline
تيكتورنا,Tekturna
تاموكْسيفين,تاموكْسيفين
تاكْرين,تاكْرين
تولنفتات,تولنفتات
تيتراهيدروزولين,تيتراهيدروزولين
تتراسيكلين,تتراسيكلين
تيمولول,تيمولول
تيربوتالين,تيربوتالين
تِريامسينولون,تِريامسينولون
تريميثوبريم,تريميثوبريم
تريبروليدين,تريبروليدين
تيرفينادين,تيرفينادين
توبيراميت,توبيراميت
تيربينافين,تيربينافين
تاكروليموس,تاكروليموس
تامْسولوسين,تامْسولوسين
تيبولون,تيبولون
تيجاسيرود,تيجاسيرود
تادالافيل,تادالافيل
تولتيرودين,تولتيرودين
ترامادول,ترامادول
تيرازوسين,تيرازوسين
تريتينوين,تريتينوين
ترازودون,ترازودون
تراستوزوماب,تراستوزوماب
تولبوتاميد,تولبوتاميد
تيوتروبيوم بروميد,تيوتروبيوم بروميد
تازاروتين,تازاروتين
تيترابينازين,تيترابينازين
تينوفوفير,تينوفوفير
توبوتيكان,توبوتيكان
تيروثريسين/ بنزوكاين,تيروثريسين/ بنزوكاين
تينيدازول,تينيدازول
تريبتوريلين,تريبتوريلين
تيريباراتيد,تيريباراتيد
توكسين البوتولينيوم,توكسين البوتولينيوم
تروسْبيوم,تروسْبيوم
تريكْلوزان,تريكْلوزان
ترومانتادين,ترومانتادين
تيموزولوميد,تيموزولوميد
تتراكوساكتيد,تتراكوساكتيد
توبراميسين,توبراميسين
تريبروستينيل,تريبروستينيل
ترولامين,ترولامين
تيلبيفودين,تيلبيفودين
تروبيكاميد,تروبيكاميد
ترافوبروست,ترافوبروست
ثيوفار,THEOPHAR 100 MG S.R CAPSULES
ثيوفار,THEOPHAR 200 MG S.R CAPSULES
ثيوبيد,THEOPED
ثيودور,THEO-DUR TAB 200MG
ثالوميد,Thalomid
ثيروجين,Thyrogen
ثورازين,Thorazine
ثاليتون,Thalitone
ثُلاَثِيُّ نِتْراتِ الغلِيسيريل,ثُلاَثِيُّ نِتْراتِ الغلِيسيريل
ثُنائِيُّ المِيثيكون,ثُنائِيُّ المِيثيكون
ثيوفيلين,ثيوفيلين
ثيوريدازين,ثيوريدازين
ثُنائِي الميثيندين,ثُنائِي الميثيندين
ثاليدوميد,ثاليدوميد
ثيروتروبين ألفا,ثيروتروبين ألفا
ثنائي إيثيل ستيلبوستيرول,ثنائي إيثيل ستيلبوستيرول
جلوكوباي,GLUCOBAY 100MG TAB
جلوريون,GLORION 1MG TABLETS
جلوريون,GLORION 3MG TABLETS
جلوريون,GLORION 4MG TABLET
جل بنزاك,BENZAC AC 5% GEL
جاينو - بيفاريل,GYNO-PEVARYL-150 VAG. SUPPS 150MG
جاينو بيفاريل,GYNO-PEVARYL-50 VAG SUPPS 50MG
جيدكو كال سي,JEDCO CAL - C EFFERVESCENT GRANULES
جينيرا,GYNERA 21 TAB
جيمسيتابين,GEMCITABIN EBEWE 1000MG-100ML VAIL
جيمسيتابين ايبوي,GEMCITABIN EBEWE 200MG-20ML VAIL
جيمسيتابين ايبوي,GEMCITABIN EBEWE 500MG-50ML VAIL
جارداسيل,GARDASIL RECOMBINANT VACCINE
جاماجارد,GAMMAGARD S-D 0.5GM\10ML VIAL
جانفورت,GANFORT EYE DROPS
جوسبرين,JUSPRIN 300MG ENTERIC COATED TABLETS
جلوتريزين,GLOTRIZINE 5MG-5ML SYRUP
جامافيت,GAMAVATE OINTMENT 0.05%
جلمنتين,JULMENTIN 1.2GM INJ.
جليمفان,GLIMEPHAN 2MG TABLETS
جليميفان,GLIMEPHAN 3MG TABLETS
جابانت,GABANET 300MG CAPSULE
جاترون,GUTRON INJECTION 5MG-2ML
جابين,GABIN 250MG-5ML SYRUP
جوترون,GUTRON TAB 2.5 MG TAB
جينو - كوريل,GYNO-CORYL VAGINAL CREAM
جينو كوريل,GYNO-CORYL 150 MG VAGINAL OVULES
جيدكوفلوسين,JEDCOFLOCIN 200MG TABLETS
جل اكنيزول,ACNEZOYL 5% GEL
جازوفين,JAZOFEN 200 MG TAB
جرانيترون,GRANITRON 1MG-ML SOLUTION FOR INJECTION
جلوكير,GLUCARE 500MG TAB
جلوساف,GLUSAFE 3MG TABLETS
جازوفين اقراص,JAZOFEN 400MG TAB
جاستروفيت,GASTROFAIT TAB 500MG
جابنتين,GAPENTIN
جنبريد,GENPRID
جلوكوزامين,GLUCOSAMINE PLUS F-C TABLETS
جلوكاجين,GLUCAGEN 1MG VIAL+WATER FOR INJ.
جراسيال,GRACIAL TABLET
جافيسكون,GAVISCON EXTRA STRENGTH PEPPER.CHEW. TAB
جمزار,GEMZAR 200MG LYPH.VIAL 5ML
جلوكاجون,GLUCAGON 1 MG VIAL+SOLVENT 1ML
جانوفيا,JANUVIA 100MG F.C. TABLETS
جليفيك,GLIVEC 100MG CAP
جالفوس,GALVUS 50MG TABLETS
جالفوس ميت,GALVUS MET 50-1000 MG TABLETS
جليفاك,GLIVEC 100MG TABLET
جلايفيك,GLIVEC 400MG TABLET
جل بانوكسيل,PANOXYL 10 ACNE GEL
جوينت,JOINT CARE MAX CAPSULES AND TABLETS
جوتين,GOTINE 0.6MG TAB
جانوميت,JANUMET 50/1000 MG TABLET
جانوميت اقراص,JANUMET 50/850 MG TABLET
جاراميسين,Garamycin
جينوتروبين,Genotropin
جرانوسيت,Granocyte
جيفتانا,Jevtana
جابلوفين,Gablofen
جليناس,Glynase
جلوكوترول,Glucotrol
جانتوفين,Jantoven
جينجراف,Gengraf
جيودون,Geodon
جالرا,Jalra
جليبنكلاميد,جليبنكلاميد
جليبيزايد,جليبيزايد
جيمفيبروزيل,جيمفيبروزيل
جنتاميسين,جنتاميسين
جيمسيتابين,جيمسيتابين
جاتيفلوكساسين,جاتيفلوكساسين
جيمتوزوماب أوزوجاميسين,جيمتوزوماب أوزوجاميسين
حقن كلوبيكسول,CLOPIXOL INJ 10MG-ML
حقن فلوناكسول ديبوت,FLUANXOL DEPOT INJ 20MG-ML
حبوب بنتازول,PANTOZOL 40MG TAB
حبوب رازون,RAZONE 40 MG E.C TAB
حبوب جالفوس,GALVUS MET 50-850 MG TABLETS
حقن ريكورمون,RECORMON PFS 4000IU-0.3ML SOLU. FOR INJ
حقن ميركيرا,MIRCERA 200MCG-0.3ML SOLN. FOR INJ
حليب أكسيد المغنيسيوم,MILK OF MAGNESIA SUSP.
حبيبات فاسبيك,FASPIC 400MG GRANULES
حمض يورسودي كوليك,حمض يورسودي كوليك
حمض الساليسيليك,حمض الساليسيليك
حمض الفوسيديك,حمض الفوسيديك
حمض الزوليدرونيك,حمض الزوليدرونيك
حَمْضُ الترانيكْساميك,حَمْضُ الترانيكْساميك
حمض الإيباندرونيك,حمض الإيباندرونيك
حمض الهيالورونيك,حمض الهيالورونيك
ديرماسبت,DERMASEPT
دولومول,DOLOMOL 120MG SUPP
دولومول,DOLOMOL 325MG SUPP
دولومول,DOLOMOL 650MG SUPP
دولومول,DOLOMOL SYRUP 120 MG - 5 ML
دولومول,DOLOMOL 500MG TAB
ديوموزول,DUMOZOLE (ELYZOL) 1 % CREAM
ديوموزول,DUMOZOLE (ELYZOL) 25 MG - ML SUSPENSION
دوموزول,DUMOZOLE (ELYZOL) 250 MG TABLETS
دوموزول,DUMOZOLE (ELYZOL) 500 MG TABLETS
دوموليد,DUMOLID TAB. 5 MG.
دوموسيكلين,DUMOCYCLIN 250 MG CAP
ديوموسيكلين,DUMOCYCLINE EYE OINT
ديوموسيكلين,DUMOCYCLIN 1.M.VIAL
دوموسيكلين,DUMOCYCLINE 500MG INJ
دوباميت,DOPAMET 250MG TABS
ديكاببتيل,DECAPEPTYL CR 3.75MG SYRINGE
ديكابيبتيل,DECAPEPTYL DEPOT NOVUM 3.75MG VIAL+SOLVT
ديكوزال,DECOZAL 0.05% NASAL DROPS
دانسترون,DANSETRON 2MG\ML AMP. FOR I.V INJECTION
ديوسيميد,DIUSEMIDE 20MG-2ML AMP
ديوسيميد,DIUSEMIDE 40 MG TAB
دوستينكس,DOSTINEX 0.5MG TABLET
دينول,DE-NOL 120MG TABS
دوروغوسيك,DUROGESIC 12MCG-H TRASDERMAL PATCHES
دوراجيسيك,DUROGESIC TTS 100 Ug-HOUR
ديوروجيسيك,DUROGESIC TTS 25 Ug-HOUR
دوراجيسيك,DUROGESIC TTS 50 Ug-HOUR
دوروقوسيك,DUROGESIC TTS 75 Ug-HOUR
داكترين,DAKTARIN CREAM 2%
داكترين,DAKTARIN ORALGEL 2%
ديرماتين,DERMATIN 1% POWDER
ديفيرين,DIFFERIN 0.1% GEL
دموع طبيعية,TEARS NATURALE II
ديوتراف,DUOTRAV EYE DROPS
ديان,DIANE-35 TAB
دوبرجين,DOPERGIN 0.2MG TAB
ديفلوكان,DIFLUCAN 150MG CAPS
ديفلوكان,DIFLUCAN 200MG CAPS
ديفلوكان,DIFLUCAN 50MG CAPS
دايفونكس,DAIVONEX CREAM 50MCG-G
دوكسوروبيسين,DOXORUBICIN 2MG-MLVIAL
دايفوبيت,DAIVOBET OINTMENT
دايفونيكس,DAIVONEX OINT 50MCG-G
ديسبرون,DISBRON SYRUP 2MG-5ML
ديرموفيت,DERMOVATE 0.05% SCALP APPLICATION
ديكسيبان,DEXIPAN 5% CREAM
ديرموفيت,DERMOVATE OINTMENT 0.05%
دولكولاكس,DULCOLAX 5MG ENTERIC COATED TAB
ديالون,DIALON 1000MG F.C. TABLETS
ديباكين,DEPAKINE 400MG-4ML POWDER FOR INJECTION
دوروفين,DOROFEN 500-50 MG CAPSULE
دوبانور,DOPANORE TAB 250 MG.
ديكــــســانــول,DEXANOL CREAM 30 GM
دروف,DROF 2% SHAMPOO
ديفاجوير,DEFAJOUR 5MG-5ML SYRUP
ديفولاكس,DEFOLAX 65GM-100ML SYRUP
ديفوراكس,DEFORAX 5% CREAM
دوبيوجيكت,DOBUJECT 50MG-ML(250MG-5ML) AMPOULE
ديفلات,DEFLAT
ديرما-كوريل,DERMA-CORYL 1% CREAM
دي جيل,DI-GEL TABLETS
دلاسين - سي,DALACIN C 300MG CAPS
ديتروسيتال,DETRUSITOL RETARD 2 MG CAPSULES
ديتروسيتول,DETRUSITOL RETARD 4 MG CAPSULES
دوجماتيل,DOGMATIL CAPS 50MG
دوبوتامن,DOBUTAMINE HCL 250MG-20ML VIAL
ديبرولين,DIPROLENE CREAM
ديتروسيتول,DETRUSITOL 2MG FC TAB
دوغماتيل,DOGMATIL AMP 100MG
دوسباتالين,DUSPATALIN 200MG PROLONGED RELEASE CAPS
ديسلور,DESLOR 5 MG FILM COATED TABLET
دوجماتيل فورت,DOGMATIL FORT TAB 200MG
داكاترين,DAKTARIN POWDER 2%
ديكسافلوكس,DEXAFLOX OPHTHALMIC SUSPENSION
ديرفينا,DERFINA 1% LOTION
ديرفنا,DERFINA 1% SPRAY
دوسبامين,DUSPAMEN 135MG TAB
ديكساميثازون,DISPERCAM GEL 0.5%
ديكساميثازون,DISPERCAM 20MG-ML AMP.FOR I-M USE
ديسبرين,DISPRIN
ديرمولار,DERMOLAR
ديرمولار ن,DERMOLAR-N
دواء باراكلود,BARACLUDE 0.5MG F.C. TABLETS
دياموكس,DIAMOX 250MG TAB.
دياموكس ساستيتس,DIAMOX SUSTETS 500 MG
